,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
0,2009-02-02 00:00:00,1SPATIAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,53.03
1,1994-07-18 00:00:00,3I GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,12355.41
2,2007-03-13 00:00:00,3I INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,2986.3
3,2021-02-17 00:00:00,4BASEBIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,69.29
4,2014-02-18 00:00:00,4D PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,0
5,2021-12-07 00:00:00,4GLOBAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,16.6
6,1953-03-13 00:00:00,4IMPRINT GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,895.93
7,2011-07-14 00:00:00,600 GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,16.04
8,2014-06-10 00:00:00,7DIGITAL GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,6.67
9,2005-10-04 00:00:00,888 HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Gibraltar,Europe,MAIN MARKET ,Yes,656.55
10,2012-02-03 00:00:00,88 ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,116.27
11,2005-11-03 00:00:00,ABCAM PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,2804.85
12,2013-05-22 00:00:00,AB DYNAMICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,296.41
13,1952-03-24 00:00:00,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,296.93
14,1994-03-31 00:00:00,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,324.59
15,1990-12-10 00:00:00,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1101.5
16,2017-07-03 00:00:00,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,119.86
17,2020-10-07 00:00:00,"AB ""IGNITIS GRUPE""",Utilities,Utilities,Lithuania,Europe,MAIN MARKET ,Yes,-
18,2020-12-15 00:00:00,ABINGDON HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,12.17
