symbol,name
012-LN,012 Golden Lines
0A1Q-LN,Nemaura Medical Inc
0D13-LN,Visiomed Group
0K2H-LN,Moleculin Biotech Inc
0LG9-LN,Asensus Surgical Inc
0R22-LN,Barrick Gold Corp.
3IN-LN,3I Infrastructure Plc
4BB-LN,4basebio UK Societas
7DIG-LN,7digital Group plc
888-LN,888 Hldgs
AA.-LN,AA Plc
AA4-LN,Amedeo Air Four Plus Ltd
AAA-LN,All Active Asset Capital Limited
AAAP-LN,Anglo African Agriculture Plc
AADV-LN,Albion Development VCT Plc
AAEV-LN,Albion Enterprise VCT Plc
AAF-LN,Airtel Africa Plc
AAIF-LN,Aberdeen Asian Income Fund
AAL-LN,Anglo American plc
AAS-LN,Aberdeen Standard Asia Focus Plc
AATG-LN,Albion Technology & General VCT Plc
AAU-LN,Ariana Resources
AAVC-LN,Albion Venture Capital Trust Plc
AAZ-LN,Anglo Asian Mining
ABBY-LN,Abbey Plc
ABC-LN,Abcam
ABD-LN,Aberdeen New Dawn Investment Trust plc
ABDP-LN,AB Dynamics plc
ABDX-LN,Abingdon Health Plc
ABF-LN,Associated British Foods plc
ACC-LN,Access Intelligence
ACI-LN,Alternative Credit Investments plc
ACP-LN,Armadale Capital Plc
ACRL-LN,Accrol Group Holdings Plc
ACSO-LN,Accesso Technology Group Plc
ACT-LN,Actual Experience plc
ADA-LN,Adams Plc
ADAM-LN,Jade Road Investments Limited
ADIG-LN,Aberdeen Diversified Income And Growth Trust Plc
ADM-LN,Admiral Group
ADME-LN,ADM Energy Plc
ADT-LN,Adept Technology Group Plc
ADT1-LN,Adriatic Metals Plc
ADV-LN,Advance Energy Plc
ADVT-LN,AdvancedAdvT Limited
AEG-LN,Active Energy Group plc
AEMC-LN,Aberdeen Emerging Markets Investment Company Limited
AEO-LN,Aeorema Communications Group Plc
AEP-LN,Anglo-Eastern Plantations plc
AET-LN,Afentra Plc
AEWU-LN,AEW UK REIT Plc
AEX-LN,Aminex Plc
AEXG-LN,AEX Gold Inc
AFC-LN,AFC Energy Plc
AFHP-LN,Afh Financial Group Plc
AFM-LN,Alpha Financial Markets Consulting Plc
AFN-LN,Advfn plc
AFP-LN,African Pioneer Plc
AFRK-LN,Afarak Group Plc
AFRN-LN,Aferian Plc
AFS-LN,Amiad Water Systems Limted
AFX-LN,Alpha FX Group Plc
AGFX-LN,Argentex Group Plc
AGK-LN,Aggreko plc
AGL-LN,Angle
AGM-LN,Applied Graphene Materials Plc
AGR-LN,Assura Plc
AGT-LN,AVI Global Trust Plc
AGTA-LN,Agriterra Limited
AGY-LN,Allergy Therapeutics Plc
AHT-LN,Ashtead Group plc
AIBG-LN,AIB Group Plc
AIE-LN,Ashoka India Equity Investment Trust Plc
AIEA-LN,Airea Plc
AIEC-LN,Ashoka India Equity Investment Trust Plc - Class C
AIF-LN,Acorn Income Fund
AIQ-LN,AIQ Limited
AIR-LN,Air Partner
AIRC-LN,Air China Ltd - Class H
AIRE-LN,Alternative Income REIT Plc
AJB-LN,AJ Bell plc
AJG-LN,Atlantis Japan Growth Fund (UK Registered)
AJIT-LN,Aberdeen Japan Investment Trust Plc
AJOC-LN,AVI Japan Opportunity Trust Plc - Class C
AJOT-LN,AVI Japan Opportunity Trust Plc
ALAI-LN,Aberdeen Latin American Income Fund Ltd
ALBA-LN,Alba Mineral Resources
ALFA-LN,Alfa Financial Software Holdings Plc
ALGW-LN,Alpha Growth Plc
ALM-LN,Allied Minds Plc
ALNA-LN,Alina Holdings Plc
ALS-LN,Altus Strategies plc
ALT-LN,Altitude Group Plc
ALTN-LN,AltynGold Plc
ALTS-LN,Cabot Square Alternatives Plc
ALU-LN,Alumasc Group plc
AMAT-LN,Amati AIM VCT Plc
AMC-LN,Amur Minerals Corp
AMGO-LN,Amigo Holdings Plc
AML-LN,Aston Martin Lagonda Global Holdings Plc
AMO-LN,Amino Technologies
AMOI-LN,Anemoi International Limited
AMS-LN,Advanced Medical Solutions Group
AMTE-LN,Amte Power Plc
AMYT-LN,Amryt Pharma Plc (New)
ANCR-LN,Animalcare Group Plc
ANG-LN,Angling Direct Plc
ANGS-LN,Angus Energy Plc
ANIC-LN,Agronomics Limited
ANP-LN,Anpario Plc
ANTO-LN,Antofagasta plc
ANW-LN,Aberdeen New Thai Investment Trust
ANX-LN,Anexo Group Plc
AO.-LN,AO World Plc
AOGL-LN,Attis Oil and Gas Ltd
AOM-LN,ActiveOps Plc
APAX-LN,Apax Global Alpha Limited
APF-LN,Anglo Pacific Group
APGN-LN,Applegreen Plc
APH-LN,Alliance Pharma plc
APP-LN,Appreciate Group Plc
APQ-LN,APQ Global Limited
APTD-LN,Aptitude Software Group Plc
AQSG-LN,Aquila Services Group Plc
AQX-LN,Aquis Exchange Plc
ARB-LN,Argo Blockchain Plc
ARBB-LN,Arbuthnot Banking Group Plc.
ARC-LN,Arcontech Group Plc
ARCM-LN,Arc Minerals Limited
ARDN-LN,Arden Partners
ARE-LN,Arena Events Group
AREC-LN,Arecor Therapeutics Plc
ARG-LN,Argos Resources Limited
ARGO-LN,Argo Group Ltd
ARIX-LN,Arix Bioscience Plc
ARK-LN,Arkle Resources Plc
ARR-LN,Aurora Investment Trust plc
ARS-LN,Asiamet Resources Limited
ART-LN,Artisanal Spirits Company Plc
ARTL-LN,Alpha Real Trust Limited
ARW-LN,Arrow Global Group Plc
ASAI-LN,ASA International Group Plc
ASBE-LN,Associated British Engineering
ASC-LN,Asos plc
ASCI-LN,Aberdeen Smaller Companies Income Trust plc
ASCL-LN,Ascential plc
ASEI-LN,Aberdeen Standard Equity Income Trust plc
ASHM-LN,Ashmore Group
ASIT-LN,Aberforth Split Level Income Trust Plc
ASL-LN,Aberforth Smaller Companies Trust plc
ASLI-LN,Aberdeen Standard European Logistics Income Plc
ASLR-LN,Asimilar Group Plc
AST-LN,Ascent Resources
ASTO-LN,Assetco Plc
