,Unnamed: 0,Unnamed: 0.1,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m),Symbol,Description,annual_report_URL,PDF_path,Total Revenue 20/21
0,0,0,2009-02-02 00:00:00,1SPATIAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,53.03,SPA,1SPATIAL PLC,https://1spatial.com/media/dkcd0opn/1spatial-annual-report-31-january-2022.pdf,annual-reports/SPA_annual_report.pdf,24600000.0
1,1,1,1994-07-18 00:00:00,3I GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,12355.41,III,3I GROUP PLC,https://www.3i.com/media/5292/3i_group_ar2021.pdf,annual-reports/III_annual_report.pdf,277832000.0
2,2,2,1953-03-13 00:00:00,4IMPRINT GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,895.93,FOUR,4IMPRINT GROUP PLC,https://investors.4imprint.com/media/bjtjtpi4/4imprint-ar21_book_web_sm.pdf,annual-reports/FOUR_annual_report.pdf,1367500000.0
5,5,5,2005-11-03 00:00:00,ABCAM PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,2804.85,ABC,ABCAM PLC,https://corporate.abcam.com/wp-content/uploads/2020/11/Abcam_ARA2020.pdf,annual-reports/ABC_annual_report.pdf,213988843000.0
6,6,6,2013-05-22 00:00:00,AB DYNAMICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,296.41,ABDP,AB DYNAMICS PLC,https://www.abdplc.com/application/files/7516/3846/5612/AB_Dynamics_plc_Annual_Report_and_Accounts_2021.pdf,annual-reports/ABDP_annual_report.pdf,65380000.0
8,8,12,2016-06-10 00:00:00,ACCROL GROUP HOLDINGS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,AIM ,No,80.52,ACRL,ACCROL GROUP HOLDINGS PLC,http://www.accrol.co.uk/app/uploads/2020/09/Accrol-Group-plc-Annual-Report-2020.pdf,annual-reports/ACRL_annual_report.pdf,136594000.0
11,11,16,2014-02-13 00:00:00,ACTUAL EXPERIENCE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,1.64,ACT,ACTUAL EXPERIENCE PLC,https://assets-global.website-files.com/60f593260e0a0cacfb493030/62a05f2a8b97b70269f38ecd_Actual%20Experience%20plc%20-%20Interim%20Results%20-%2031%20March%202022%20-%20FINAL.pdf,annual-reports/ACT_annual_report.pdf,1120185000.0
12,12,18,2005-12-16 00:00:00,ADM ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,2.17,ADME,ADM ENERGY PLC,https://admenergyplc.com/investors/documents-reports/,annual-reports/ADME_annual_report.pdf,1751000.0
13,13,19,2004-09-28 00:00:00,ADMIRAL GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,5751.96,ADM,ADMIRAL GROUP PLC,https://admiralgroup.co.uk/investor-relations/results-and-presentations,annual-reports/ADM_annual_report.pdf,85249000000.0
14,14,20,2019-12-12 00:00:00,ADRIATIC METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,319.66,ADT1,ADRIATIC METALS PLC,https://www.adriaticmetals.com/investors/financial-reports-2/,annual-reports/ADT1_annual_report.pdf,0.0
16,16,22,2006-08-04 00:00:00,ADVANCED ONCOTHERAPY PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,113.83,AVO,ADVANCED ONCOTHERAPY PLC,https://www.avoplc.com/en-gb/Investors/Company-Documents,annual-reports/AVO_annual_report.pdf,891700000.0
